,Date,Temperature
756,2015/01/27,15.0
757,2015/01/28,19.0
758,2015/01/29,18.0
759,2015/01/30,14.0
760,2015/01/31,14.0
761,2015/02/01,17.0
762,2015/02/02,17.0
763,2015/02/03,16.0
764,2015/02/04,13.0
765,2015/02/05,12.0
766,2015/02/06,17.0
767,2015/02/07,13.0
768,2015/02/08,11.0
769,2015/02/09,14.0
770,2015/02/10,18.0
771,2015/02/11,19.0
772,2015/02/12,18.0
773,2015/02/13,20.0
774,2015/02/14,22.0
775,2015/02/15,23.0
776,2015/02/16,18.0
777,2015/02/17,17.0
778,2015/02/18,15.0
779,2015/02/19,20.0
780,2015/02/20,23.0
781,2015/02/21,22.0
782,2015/02/22,20.0
783,2015/02/23,22.0
784,2015/02/24,24.0
785,2015/02/25,25.0
786,2015/02/26,20.0
787,2015/02/27,22.0
788,2015/02/28,16.0
789,2015/03/01,15.0
790,2015/03/02,23.0
791,2015/03/03,15.0
792,2015/03/04,15.0
793,2015/03/05,15.0
794,2015/03/06,18.0
795,2015/03/07,18.0
796,2015/03/08,18.0
797,2015/03/09,13.0
798,2015/03/10,13.0
799,2015/03/11,15.0
800,2015/03/12,22.0
801,2015/03/13,23.0
802,2015/03/14,24.0
803,2015/03/15,25.0
804,2015/03/16,26.0
805,2015/03/17,26.0
806,2015/03/18,28.0
807,2015/03/19,25.0
808,2015/03/20,23.0
809,2015/03/21,18.0
810,2015/03/22,18.0
811,2015/03/23,16.0
812,2015/03/24,16.0
813,2015/03/25,18.0
814,2015/03/26,20.0
815,2015/03/27,19.0
816,2015/03/28,23.0
817,2015/03/29,24.0
818,2015/03/30,26.0
819,2015/03/31,29.0
820,2015/04/01,27.0
821,2015/04/02,28.0
822,2015/04/03,28.0
823,2015/04/04,29.0
824,2015/04/05,30.0
825,2015/04/06,20.0
826,2015/04/07,17.0
827,2015/04/08,17.0
828,2015/04/09,19.0
829,2015/04/10,17.0
830,2015/04/11,23.0
831,2015/04/12,21.0
832,2015/04/13,23.0
833,2015/04/14,24.0
834,2015/04/15,27.0
835,2015/04/16,28.0
836,2015/04/17,28.0
837,2015/04/18,28.0
838,2015/04/19,28.0
839,2015/04/20,18.0
840,2015/04/21,20.0
841,2015/04/22,24.0
842,2015/04/23,24.0
843,2015/04/24,21.0
844,2015/04/25,22.0
845,2015/04/26,27.0
846,2015/04/27,28.0
847,2015/04/28,26.0
848,2015/04/29,23.0
849,2015/04/30,25.0
850,2015/05/01,28.0
851,2015/05/02,29.0
852,2015/05/03,24.0
853,2015/05/04,19.0
854,2015/05/05,27.0
855,2015/05/06,27.0
856,2015/05/07,24.0
857,2015/05/08,30.0
858,2015/05/09,27.0
859,2015/05/10,28.0
860,2015/05/11,21.0
861,2015/05/12,27.0
862,2015/05/13,30.0
863,2015/05/14,31.0
864,2015/05/15,30.0
865,2015/05/16,30.0
866,2015/05/17,30.0
867,2015/05/18,30.0
868,2015/05/19,24.0
869,2015/05/20,21.0
870,2015/05/21,25.0
871,2015/05/22,29.0
872,2015/05/23,27.0
873,2015/05/24,24.0
874,2015/05/25,25.0
875,2015/05/26,29.0
876,2015/05/27,31.0
877,2015/05/28,32.0
878,2015/05/29,32.0
879,2015/05/30,30.0
880,2015/05/31,29.0
881,2015/06/01,30.0
882,2015/06/02,31.0
883,2015/06/03,29.0
884,2015/06/04,31.0
885,2015/06/05,26.0
886,2015/06/06,29.0
887,2015/06/07,31.0
888,2015/06/08,32.0
889,2015/06/09,32.0
